id,crawl_id,source_url,target_url,anchor_text,is_internal,is_nofollow,is_sponsored,is_ugc
536576,crawl_20260924_001323,https://www.drivio.in/aeroride-ev,https://www.drivio.in/,Home,1,0,0,0
536606,crawl_20260924_001323,https://www.drivio.in/aeroride-ev,https://www.drivio.in/,,1,0,0,0
536608,crawl_20260924_001323,https://www.drivio.in/aeroride-ev,https://www.drivio.in/,,1,0,0,0
536627,crawl_20260924_001323,https://www.drivio.in/aeroride/aero,https://www.drivio.in/,Home,1,0,0,0
536692,crawl_20260924_001323,https://www.drivio.in/aeroride/aero,https://www.drivio.in/,,1,0,0,0
536693,crawl_20260924_001323,https://www.drivio.in/aeroride/aero,https://www.drivio.in/,Home,1,0,0,0
536723,crawl_20260924_001323,https://www.drivio.in/aeroride/aero,https://www.drivio.in/,,1,0,0,0
536725,crawl_20260924_001323,https://www.drivio.in/aeroride/aero,https://www.drivio.in/,,1,0,0,0
536744,crawl_20260924_001323,https://www.drivio.in/aeroride/bravo,https://www.drivio.in/,Home,1,0,0,0
536803,crawl_20260924_001323,https://www.drivio.in/aeroride/bravo,https://www.drivio.in/,,1,0,0,0
536804,crawl_20260924_001323,https://www.drivio.in/aeroride/bravo,https://www.drivio.in/,Home,1,0,0,0
536834,crawl_20260924_001323,https://www.drivio.in/aeroride/bravo,https://www.drivio.in/,,1,0,0,0
536836,crawl_20260924_001323,https://www.drivio.in/aeroride/bravo,https://www.drivio.in/,,1,0,0,0
536855,crawl_20260924_001323,https://www.drivio.in/aftek-motors-scooters,https://www.drivio.in/,Home,1,0,0,0
536860,crawl_20260924_001323,https://www.drivio.in/aftek-motors-scooters,https://www.drivio.in/,,1,0,0,0
536861,crawl_20260924_001323,https://www.drivio.in/aftek-motors-scooters,https://www.drivio.in/,Home,1,0,0,0
536891,crawl_20260924_001323,https://www.drivio.in/aftek-motors-scooters,https://www.drivio.in/,,1,0,0,0
536893,crawl_20260924_001323,https://www.drivio.in/aftek-motors-scooters,https://www.drivio.in/,,1,0,0,0
536912,crawl_20260924_001323,https://www.drivio.in/aeroride/e-spark,https://www.drivio.in/,Home,1,0,0,0
536977,crawl_20260924_001323,https://www.drivio.in/aeroride/e-spark,https://www.drivio.in/,,1,0,0,0
536978,crawl_20260924_001323,https://www.drivio.in/aeroride/e-spark,https://www.drivio.in/,Home,1,0,0,0
537008,crawl_20260924_001323,https://www.drivio.in/aeroride/e-spark,https://www.drivio.in/,,1,0,0,0
537010,crawl_20260924_001323,https://www.drivio.in/aeroride/e-spark,https://www.drivio.in/,,1,0,0,0
537029,crawl_20260924_001323,https://www.drivio.in/aeroride/yb2000,https://www.drivio.in/,Home,1,0,0,0
537094,crawl_20260924_001323,https://www.drivio.in/aeroride/yb2000,https://www.drivio.in/,,1,0,0,0
537095,crawl_20260924_001323,https://www.drivio.in/aeroride/yb2000,https://www.drivio.in/,Home,1,0,0,0
537125,crawl_20260924_001323,https://www.drivio.in/aeroride/yb2000,https://www.drivio.in/,,1,0,0,0
537127,crawl_20260924_001323,https://www.drivio.in/aeroride/yb2000,https://www.drivio.in/,,1,0,0,0
537146,crawl_20260924_001323,https://www.drivio.in/amo-electric/inspirer,https://www.drivio.in/,Home,1,0,0,0
537211,crawl_20260924_001323,https://www.drivio.in/amo-electric/inspirer,https://www.drivio.in/,,1,0,0,0
537212,crawl_20260924_001323,https://www.drivio.in/amo-electric/inspirer,https://www.drivio.in/,Home,1,0,0,0
537242,crawl_20260924_001323,https://www.drivio.in/amo-electric/inspirer,https://www.drivio.in/,,1,0,0,0
537244,crawl_20260924_001323,https://www.drivio.in/amo-electric/inspirer,https://www.drivio.in/,,1,0,0,0
537263,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-3w,https://www.drivio.in/,Home,1,0,0,0
537328,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-3w,https://www.drivio.in/,,1,0,0,0
537329,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-3w,https://www.drivio.in/,Home,1,0,0,0
537359,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-3w,https://www.drivio.in/,,1,0,0,0
537361,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-3w,https://www.drivio.in/,,1,0,0,0
537380,crawl_20260924_001323,https://www.drivio.in/amo-electric-ev,https://www.drivio.in/,Home,1,0,0,0
537388,crawl_20260924_001323,https://www.drivio.in/amo-electric-ev,https://www.drivio.in/,,1,0,0,0
537389,crawl_20260924_001323,https://www.drivio.in/amo-electric-ev,https://www.drivio.in/,Home,1,0,0,0
537419,crawl_20260924_001323,https://www.drivio.in/amo-electric-ev,https://www.drivio.in/,,1,0,0,0
537421,crawl_20260924_001323,https://www.drivio.in/amo-electric-ev,https://www.drivio.in/,,1,0,0,0
537440,crawl_20260924_001323,https://www.drivio.in/adventure,https://www.drivio.in/,Home,1,0,0,0
537464,crawl_20260924_001323,https://www.drivio.in/adventure,https://www.drivio.in/,,1,0,0,0
537465,crawl_20260924_001323,https://www.drivio.in/adventure,https://www.drivio.in/,Home,1,0,0,0
537495,crawl_20260924_001323,https://www.drivio.in/adventure,https://www.drivio.in/,,1,0,0,0
537497,crawl_20260924_001323,https://www.drivio.in/adventure,https://www.drivio.in/,,1,0,0,0
537516,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-plus,https://www.drivio.in/,Home,1,0,0,0
537581,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-plus,https://www.drivio.in/,,1,0,0,0
537582,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-plus,https://www.drivio.in/,Home,1,0,0,0
537612,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-plus,https://www.drivio.in/,,1,0,0,0
537614,crawl_20260924_001323,https://www.drivio.in/amo-electric/jaunty-plus,https://www.drivio.in/,,1,0,0,0
537633,crawl_20260924_001323,https://www.drivio.in/ampere-ev,https://www.drivio.in/,Home,1,0,0,0
537640,crawl_20260924_001323,https://www.drivio.in/ampere-ev,https://www.drivio.in/,,1,0,0,0
537641,crawl_20260924_001323,https://www.drivio.in/ampere-ev,https://www.drivio.in/,Home,1,0,0,0
537671,crawl_20260924_001323,https://www.drivio.in/ampere-ev,https://www.drivio.in/,,1,0,0,0
537673,crawl_20260924_001323,https://www.drivio.in/ampere-ev,https://www.drivio.in/,,1,0,0,0
537692,crawl_20260924_001323,https://www.drivio.in/ampere/magnus,https://www.drivio.in/,Home,1,0,0,0
537757,crawl_20260924_001323,https://www.drivio.in/ampere/magnus,https://www.drivio.in/,,1,0,0,0
537758,crawl_20260924_001323,https://www.drivio.in/ampere/magnus,https://www.drivio.in/,Home,1,0,0,0
537788,crawl_20260924_001323,https://www.drivio.in/ampere/magnus,https://www.drivio.in/,,1,0,0,0
537790,crawl_20260924_001323,https://www.drivio.in/ampere/magnus,https://www.drivio.in/,,1,0,0,0
537809,crawl_20260924_001323,https://www.drivio.in/application,https://www.drivio.in/,Home,1,0,0,0
537812,crawl_20260924_001323,https://www.drivio.in/application,https://www.drivio.in/,,1,0,0,0
537813,crawl_20260924_001323,https://www.drivio.in/application,https://www.drivio.in/,Home,1,0,0,0
537843,crawl_20260924_001323,https://www.drivio.in/application,https://www.drivio.in/,,1,0,0,0
537845,crawl_20260924_001323,https://www.drivio.in/application,https://www.drivio.in/,,1,0,0,0
537864,crawl_20260924_001323,https://www.drivio.in/ampere/reo-li-plus,https://www.drivio.in/,Home,1,0,0,0
537929,crawl_20260924_001323,https://www.drivio.in/ampere/reo-li-plus,https://www.drivio.in/,,1,0,0,0
537930,crawl_20260924_001323,https://www.drivio.in/ampere/reo-li-plus,https://www.drivio.in/,Home,1,0,0,0
537960,crawl_20260924_001323,https://www.drivio.in/ampere/reo-li-plus,https://www.drivio.in/,,1,0,0,0
537962,crawl_20260924_001323,https://www.drivio.in/ampere/reo-li-plus,https://www.drivio.in/,,1,0,0,0
537981,crawl_20260924_001323,https://www.drivio.in/aprilia-bikes,https://www.drivio.in/,Home,1,0,0,0
537991,crawl_20260924_001323,https://www.drivio.in/aprilia-bikes,https://www.drivio.in/,,1,0,0,0
