id,run_id,metric_name,metric_value,calculation_method,source_table,source_query,timestamp
num_crawl_20260923_234236_total_pages_crawled,crawl_20260923_234236,total_pages_crawled,6098.0,COUNT(*),pages,SELECT COUNT(*) FROM pages,2026-09-24T23:27:46.282447
num_crawl_20260923_234236_indexable_pages_count,crawl_20260923_234236,indexable_pages_count,5931.0,COUNT(*),pages,SELECT COUNT(*) FROM pages WHERE is_indexable = 1,2026-09-24T23:27:46.284381
num_crawl_20260923_234236_internal_links_count,crawl_20260923_234236,internal_links_count,620914.0,COUNT(*),links,SELECT COUNT(*) FROM links,2026-09-24T23:27:46.285740
num_crawl_20260923_234236_total_opportunities_count,crawl_20260923_234236,total_opportunities_count,11361.0,COUNT(*),opportunities,SELECT COUNT(*) FROM opportunities,2026-09-24T23:27:46.286206
num_crawl_20260923_234236_exec_total_pages,crawl_20260923_234236,exec_total_pages,6098.0,COUNT(*),pages,SELECT COUNT(*) FROM pages,2026-09-24T23:27:46.426539
num_crawl_20260923_234236_exec_indexable_pages,crawl_20260923_234236,exec_indexable_pages,5931.0,COUNT(*),pages,SELECT COUNT(*) FROM pages WHERE is_indexable = 1,2026-09-24T23:27:46.428294
